time,rms_eccentricity
0.0,0.05787971708175279
204081.63265306124,0.058883719660620316
408163.2653061224,0.05804445714877497
612244.8979591837,0.05876942087756051
816326.5306122447,0.058153630035705055
1020408.163265306,0.05858081257136591
1224489.7959183673,0.05843323545985726
1428571.4285714286,0.05834193407272047
1632653.06122449,0.05861874353821252
1836734.6938775512,0.05818484459776964
2040816.326530612,0.05880921445672445
2244897.9591836734,0.05817585475365638
2448979.5918367347,0.058991010162356756
2653061.224489796,0.05824433063738707
2857142.8571428573,0.05908204019256626
3061224.4897959186,0.05826280198555074
3265306.12244898,0.05911949068296708
3469387.755102041,0.05841623802117755
3673469.3877551025,0.059110157884555634
3877551.020408163,0.05877877147188425
4081632.653061224,0.05901297152288876
4285714.285714285,0.059056735126946695
4489795.918367347,0.05899223930744971
4693877.551020408,0.05933579555788808
4897959.183673469,0.05886432327212455
5102040.816326531,0.05965393707111818
5306122.448979592,0.05886176180061542
5510204.081632651,0.059770431758390655
5714285.714285715,0.05894708099869376
5918367.346938774,0.059885273664931835
6122448.979591837,0.05910481350265931
6326530.612244897,0.05981924645361283
6530612.24489796,0.05946909856944367
6734693.877551019,0.059820237084313964
6938775.510204082,0.059660622182171344
7142857.142857142,0.05978944533820224
7346938.775510205,0.06011357331316066
7551020.408163264,0.05980640703375898
7755102.040816326,0.06040028171073198
7959183.673469387,0.059743003367666976
8163265.306122448,0.060532045810415915
8367346.93877551,0.05960654051361357
8571428.57142857,0.060663966190106694
8775510.204081632,0.05977037505161676
8979591.836734693,0.060555625481392115
9183673.469387755,0.059853513432297674
9387755.102040816,0.06046299831677757
9591836.734693877,0.060206620432172876
9795918.367346939,0.060309849719018996
10000000.0,0.06060198896079166
